deviceGroupName,site_name,lat,lon
M88036,COMPLEJO EDUCATIVO CATÓLICO SANTA CATALINA,13.801408,-89.17843337
M11353,CENTRO ESCOLAR DOCTOR DOROTEO VASCONCELOS,13.735026,-89.200835
M11354,CENTRO ESCOLAR DOCTOR ARTURO ROMERO,13.734303,-89.204204
M11364,COMPLEJO EDUCATIVO TOMÁS CABRERA,13.72276,-89.177279
M11365,COMPLEJO EDUCATIVO LA PAZ,13.732057,-89.181286
M11367,COMPLEJO EDUCATIVO  ANGELA DE SOLER,13.769183,-89.18413
M11369,COMPLEJO EDUCATIVO VILLAMARIONA,13.781339,-89.18394
M11370,COMPLEJO EDUCATIVO  SANTA ROSA,13.733557,-89.183229
M14812,COMPLEJO EDUCATIVO CIUDAD FUTURA,13.787207,-89.186424
M70093,"CENTRO ESCOLAR CASERÍO URBANIZACIÓN LIRIOS DEL NORTE, CANTÓN SAN LUIS MARIONA",13.768344,-89.17568
M86332,"COMPLEJO EDUCATIVO URBANIZACIÓN MONTECARMELO, CANTÓN SAN LUIS MARIONA",13.770677,-89.181603
M86389,"CENTRO ESCOLAR COMUNIDAD PLANES DE MARIONA, CANTÓN SAN LUIS MARIONA",13.761914,-89.17307
M90053,ESCUELA MUNICIPAL DE CIUDAD FUTURA FASE I,13.784216,-89.184816
M11385,CENTRO ESCOLAR  CANTON SAN JERONIMO,13.922065,-89.184635
M11386,CENTRO ESCOLAR SALVADOR SALAZAR ARRÚE,13.873527,-89.168884
M11389,COMPLEJO EDUCATIVO  COLONIA SANTA LUCÍA,13.688469,-89.130637
M11390,COMPLEJO EDUCATIVO COLONIA SAN FELIPE,13.713377,-89.097264
M11394,CENTRO ESCOLAR  JARDINES DE SELT-SUTT,13.712139,-89.086065
M11395,INSTITUTO NACIONAL DE SAN BARTOLO,13.705475,-89.10436
M11400,COMPLEJO EDUCATIVO  CANTÓN SAN BARTOLO,13.707955,-89.099632
M11406,"COMPLEJO EDUCATIVOCOLONIA VERACRUZ, CANTÓN SAN BARTOLO",13.715608,-89.092844
M11409,CENTRO ESCOLAR  REPUBLICA DE VENEZUELA,13.689434,-89.132155
M11411,CENTRO ESCOLAR JOHN F. KENNEDY,13.689543,-89.128838
M11531,CENTRO ESCOLAR  COLONIA LLANO VERDE,13.698603,-89.105629
M14808,INSTITUTO NACIONAL DE LA COLONIA SANTA LUCIA,13.688507,-89.130658
M11414,CENTRO ESCOLAR REPUBLICA DE FRANCIA,13.734279,-89.192068
M11420,INSTITUTO NACIONAL MAESTRO ALBERTO MASFERRER,13.727501,-89.20407
M11422,COMPLEJO EDUCATIVO  REPÚBLICA ORIENTAL DEL URUGUAY,13.72744,-89.20462
M11426,CENTRO ESCOLAR  CANTON SAN ROQUE,13.744354,-89.218853
M11427,COMPLEJO EDUCATIVO  REINO DE SUECIA,13.738877,-89.208701
M11431,COMPLEJO EDUCATIVO PROFESORA HERMINIA MARTÍNEZ ALVARENGA,13.734364,-89.224312
M11433,COMPLEJO EDUCATIVO   PROFESORA MARÍA AMANDA ARTIGA DE VILLALTA,13.781476,-89.177977
M11436,COMPLEJO EDUCATIVO AMALIA VDA. DE MENENDEZ,13.724829,-89.188735
M11437,CENTRO ESCOLAR  22 DE JUNIO,13.72332,-89.188154
M11438,COMPLEJO EDUCATIVO  JAPÓN,13.727164,-89.190171
M11439,CENTRO ESCOLAR  COLONIA SAN SIMÓN,13.737535,-89.185947
M11676,COMPLEJO EDUCATIVO  REPÚBLICA DEL PERÚ,13.727776,-89.200907
M11440,CENTRO ESCOLAR  CANTON  MAPILAPA,13.818488,-89.257493
M11441,COMPLEJO EDUCATIVO  CANTON TUTULTEPEQUE,13.894894,-89.222401
M11443,CENTRO ESCOLAR  CANTON ALDEA DE LAS MERCEDES,13.803508,-89.225865
M11451,CENTRO ESCOLAR JOSÉ MATÍAS DELGADO,13.811194,-89.229625
