deviceGroupName,site_name,latitude,longitude
M11934,M11934,13.559527,-89.122995
M11935,M11935,13.576319,-89.11629
M11937,M11937,13.613288,-89.122247
M11941,M11941,13.50565,-89.140985
M11943,M11943,13.572435,-89.116454
M11944,M11944,13.540353,-89.129142
M11946,M11946,13.571358,-89.038357
M11952,M11952,13.637325,-88.988368
M11954,M11954,13.649283,-88.976656
M11955,M11955,13.575272,-89.096944
M11959,M11959,13.608822,-89.095446
M11962,M11962,13.439704,-88.91586
M11963,M11963,13.4604,-88.930086
M11964,M11964,13.593117,-88.874572
M11975,M11975,13.504561,-89.088374
M11976,M11976,13.501967,-89.074291
M11988,M11988,13.476213,-89.087755
M11991,M11991,13.470884,-89.056729
M11992,M11992,13.474328,-89.077931
M11994,M11994,13.399991,-89.120625
M12000,M12000,13.628033,-88.991292
M12001,M12001,13.618606,-89.022754
M12012,M12012,13.407543,-89.010495
M12015,M12015,13.489343,-89.047074
M12017,M12017,13.547575,-89.036174
M12032,M12032,13.513503,-88.914753
M12037,M12037,13.627982,-88.940129
M12049,M12049,13.50768,-88.938282
M12051,M12051,13.53015,-88.970256
M12053,M12053,13.534682,-88.922209
M12059,M12059,13.492093,-88.99915
M12061,M12061,13.513907,-88.969181
M12124,M12124,13.510879,-88.87052
M11306,M11306,13.955597,-89.19077
M11310,M11310,13.925269,-89.199189
M11312,M11312,13.959344,-89.191871
M11313,M11313,13.968146,-89.185301
M86383,M86383,13.972006,-89.175414
M10065,M10065,13.821251,-89.190191
M11318,M11318,13.792482,-89.172348
M11324,M11324,13.808076,-89.18054
M11329,M11329,13.807107,-89.180962
M11332,M11332,13.833891,-89.184068
M11333,M11333,13.805628,-89.17285
M11334,M11334,13.82188,-89.18465
M11345,M11345,13.798166,-89.178142
M11350,M11350,13.768414,-89.218975
M14815,M14815,13.796191,-89.164154
M60284,M60284,13.801949,-89.166064
M70009,M70009,13.827076,-89.192209
M86395,M86395,13.776494,-89.227359
M11356,M11356,13.755728,-89.208813
M11358,M11358,13.754169,-89.191075
M13597,M13597,13.737618,-89.201742
M70010,M70010,13.75684,-89.225825
M86333,M86333,13.756634,-89.183004
M90051,M90051,13.785148,-89.17931
M11372,M11372,13.974486,-89.217741
M11374,M11374,13.972565,-89.217797
M11376,M11376,14.019275,-89.162795
M11377,M11377,14.050979,-89.145113
M11378,M11378,14.013779,-89.188534
M11379,M11379,14.043179,-89.190733
M70015,M70015,14.026794,-89.273062
M70016,M70016,14.041522,-89.157454
M70019,M70019,14.003461,-89.166216
M11380,M11380,13.87622,-89.171619
M11382,M11382,13.84644,-89.155231
M11383,M11383,13.940177,-89.188455
M11388,M11388,13.872012,-89.176629
