deviceGroupName,site_name,lat,lon
11495,COMPLEJO EDUCATIVO GOLDTREE LIEBES,13.64164,-89.189115
70041,CENTRO ESCOLAR CANTÓN AMAYON,13.517006,-89.170156
70042,"COMPLEJO EDUCATIVO CASERÍO  PLAN DEL MANGO, CANTÓN AMAYÓN",13.506397,-89.196005
70046,CENTRO ESCOLAR CANTÓN AZACUALPA,13.540411,-89.175897
70097,"CENTRO ESCOLAR CASERÍO AMAYITO, CANTÓN AZACUALPA",13.558455,-89.172059
11471,COMPLEJO EDUCATIVO MANUEL JOSE ARCE,13.576754,-89.204239
11474,CENTRO ESCOLAR CANTON LAS BARROSAS,13.543607,-89.195798
11482,COMPLEJO EDUCATIVO COLONIA EL MILAGRO,13.663358,-89.182185
11483,CENTRO ESCOLAR DOCTOR EUSEBIO CORDÓN CEA,13.65522,-89.173343
11486,COMPLEJO EDUCATIVO COLONIA SAN ANTONIO,13.654829,-89.186351
11488,CENTRO ESCOLAR PROFESOR JUSTO GONZALEZ,13.656594,-89.184962
11489,COMPLEJO EDUCATIVO COMUNIDAD 10 DE OCTUBRE,13.65207,-89.165455
11492,COMPLEJO EDUCATIVO  IGNACIO PACHECO CASTRO,13.662227,-89.185291
11493,CENTRO ESCOLAR DOMINGO FAUSTINO SARMIENTO,13.667384,-89.189545
10160,COMPLEJO EDUCATIVO RESIDENCIAL ALTAVISTA,13.735009,-89.080578
11499,COMPLEJO EDUCATIVO COLONIA TIERRA VIRGEN,13.716209,-89.084048
11500,CENTRO ESCOLAR OLOF PALME,13.737816,-89.054851
11501,CENTRO ESCOLAR URBANIZACION SANTA TERESA,13.748288,-89.058845
11507,COMPLEJO EDUCATIVO JORGE LARDE,13.734779,-89.059149
11508,"CENTRO ESCOLAR COLONIA LA PALMA, CANTON LA PALMA",13.715319,-89.071978
11512,CENTRO ESCOLAR CANTON LA PALMA,13.721173,-89.068626
11516,COMPLEJO EDUCATIVO CANTÓN LA FLOR,13.734985,-89.043294
11518,COMPLEJO EDUCATIVO COLONIA ROSA LINDA,13.742279,-89.057355
70063,"CENTRO ESCOLAR  CASERÍO COMUNIDAD SAN ANDRES, CANTÓN LA PALMA",13.721621,-89.074797
70064,"COMPLEJO EDUCATIVO CASERÍO COMUNIDAD VALLE LAS DELICIAS, CANTÓN LAS DELICIAS",13.724162,-89.085577
11522,INSTITUTO NACIONAL ALBERT CAMUS,13.714816,-89.206404
11532,CENTRO ESCOLAR GENERAL FRANCISCO MORAZÁN,13.715622,-89.205302
11574,CENTRO ESCOLAR  REPUBLICA DE CANADA,13.690446,-89.235955
11592,CENTRO ESCOLAR JOSE MEJIA,13.668459,-89.223889
11593,CENTRO ESCOLAR SAN ANTONIO ABAD,13.712904,-89.22405
11594,CENTRO ESCOLAR JUANA LOPEZ,13.717258,-89.228851
11597,CENTRO ESCOLAR JUAN RAMON JIMENEZ,13.685157,-89.22544
11598,CENTRO ESCOLAR REPUBLICA DE ITALIA,13.710011,-89.259782
11626,CENTRO ESCOLAR SALVADOR MUGDAN,13.709315,-89.185942
11627,CENTRO ESCOLAR SANTIAGO I BARBERENA,13.692441,-89.208952
11631,CENTRO ESCOLAR LYNDON B. JOHNSON,13.675768,-89.189583
11639,CENTRO ESCOLAR COLONIA SANTA LUCÍA,13.708091,-89.22158400000001
11640,COMPLEJO EDUCATIVO CAPITAN GENERAL GERARDO BARRIOS,13.699431,-89.212294
11641,CENTRO ESCOLAR   CONSTITUCION  1950,13.707817,-89.180848
11645,CENTRO ESCOLAR MIGUEL PINTO,13.722699,-89.211591
11648,CENTRO ESCOLAR  REPUBLICA DE HONDURAS,13.68905,-89.209165
11650,CENTRO ESCOLAR  MONSEÑOR BASILIO PLANTIER,13.694297,-89.182082
11651,CENTRO ESCOLAR JORGE LARDE,13.687328,-89.189959
